id,verification_status,owner_id,created_by,customer_id,property_type,category,property_area,area_unit,seeking_address,district_id,municipal_id,province_id,city,layout,rent_amount,stay_period,service_amount,service_charge,family_member_adult,family_member_children,compound,furnished,commode_compulsory,parking_space,car_parking,bike_parking,road_size,road_type,renting_purpose,delete,remarks,tenant_agreement,status,created_at,updated_at,ward_num,map_url,amenities,share_map_url,verification_note
202,pending,3,3,1471,FLAT,RESIDENTIAL,,,Fulbari,38,224,4,Pokhara,1R,17000,,,,3,1,NO,NO,NO,YES,,,,,s,1,,,ACTIVE,2025-05-09T13:21:34.000Z,2025-05-09T13:21:34.000Z,11,,,,
203,pending,3,3,1472,FLAT,RESIDENTIAL,,,Fulbari/Ranipauwa,38,224,4,Pokhara,2BHK,16000,,,,2,1,NO,NO,NO,YES,,,,,2w,1,,,ACTIVE,2025-05-09T13:25:43.000Z,2025-05-09T13:25:43.000Z,11,,2,,
204,pending,3,3,1473,LAND,RESIDENTIAL,,,Birauta/Gharipatan,38,224,4,Pokhara,,15000,,,,,,,,,,,,,,s,1,,,ACTIVE,2025-05-09T13:26:44.000Z,2025-05-09T13:26:44.000Z,17,,s,,
205,pending,3,3,1474,FLAT,RESIDENTIAL,,,Fulbari,38,224,4,Pokhara,1R,18000,,,,2,2,YES,NO,NO,YES,,,,,s,1,,,ACTIVE,2025-05-09T13:27:59.000Z,2025-05-09T13:27:59.000Z,11,,Nwe house+ Modular kitchen,,
206,pending,3,3,1475,FLAT,RESIDENTIAL,,,Fulbari/Amarsingh/Chauthe,38,224,4,Pokhara,2BHK,15000,,,,2,2,YES,NO,YES,YES,,,,,s,1,,,ACTIVE,2025-05-09T13:30:34.000Z,2025-05-09T13:30:34.000Z,11,,Top floor,,
207,pending,3,3,1476,HOUSE,RESIDENTIAL,,,Fulbari/Ranipauwa/Amarsingh,38,224,4,Pokhara,1R,20000,,,,2,2,YES,NO,YES,YES,,,,,e,1,,,ACTIVE,2025-05-09T13:32:06.000Z,2025-05-09T13:32:06.000Z,10,,e,,
208,pending,3,3,1532,FLAT,RESIDENTIAL,,,Fulbari/Sitaldevi/Laliguras,38,224,4,Pokhara,1R,20000,,,,1,1,YES,NO,YES,YES,,,,,s,1,,,ACTIVE,2025-05-22T13:06:52.000Z,2025-05-22T13:06:52.000Z,11,,Gharbeti nabasne,,
209,pending,3,3,1533,HOUSE,RESIDENTIAL,,,Ratnachowk/Mustangchowk/Birauta,38,224,4,Pokhara,WHOLE_HOUSE,50000,,,,2,2,YES,YES,YES,YES,,,,,s,1,,,ACTIVE,2025-05-22T13:08:45.000Z,2025-05-22T13:08:45.000Z,17,,For hostel,,
210,pending,3,3,1534,FLAT,RESIDENTIAL,,,Bagar/Parsyang/Aarchalbot/Nadipur,38,224,4,Pokhara,1R,15000,,,,2,2,YES,YES,YES,YES,,,,,s,1,,,ACTIVE,2025-05-22T13:09:56.000Z,2025-05-22T13:09:56.000Z,1,,ws,,
211,pending,3,3,1535,FLAT,RESIDENTIAL,,,Ranipauwa/Chauthe/Amarsingh,38,224,4,Pokhara,2BHK,15000,,,,2,2,YES,NO,YES,YES,,,,,Modular Kitchen,1,,,ACTIVE,2025-05-22T13:11:40.000Z,2025-05-22T13:11:40.000Z,11,,Top floor/Gharbeti nabasne,,
212,pending,3,3,1536,FLAT,RESIDENTIAL,,,Fulbari/Ranipauwa/Sitaldevi/Mahendrapool,38,224,4,Pokhara,2BHK,30000,,,,2,2,NO,NO,NO,NO,,,,,a,1,,,ACTIVE,2025-05-22T13:21:23.000Z,2025-05-22T13:21:23.000Z,11,,az,,
213,pending,3,3,1537,SHUTTER,COMMERCIAL,,,Fulbari,38,224,4,Pokhara,2R,15000,,,,,,NO,NO,NO,NO,,,,,byapar garna ra basna milne,1,,,ACTIVE,2025-05-22T13:24:51.000Z,2025-05-22T13:24:51.000Z,11,,Shutter +room in one house,,
214,pending,3,3,1538,HOUSE,RESIDENTIAL,,,Lakeside,38,224,4,pokhara,WHOLE_HOUSE,25000,,,,2,2,YES,YES,YES,YES,,,,,Lakeside ma pasal,1,,,ACTIVE,2025-05-22T13:25:58.000Z,2025-05-22T13:25:58.000Z,6,,s,,
215,pending,3,3,1580,HOUSE,RESIDENTIAL,,,Rambajar/Nayagau,38,224,4,Pokhara,1R,25000,,,,2,2,YES,NO,YES,YES,,,,,w,1,,,ACTIVE,2025-06-10T09:17:26.000Z,2025-06-10T09:17:26.000Z,10,,Gharbeti nabasne,,
216,pending,3,3,1581,FLAT,RESIDENTIAL,,,Fulbari/Ranipauwa,38,224,4,Pokhara,2BHK,15000,,,,2,2,YES,YES,YES,YES,,,,,ss,1,,,ACTIVE,2025-06-10T09:19:27.000Z,2025-06-10T09:19:27.000Z,11,,ss,,
217,pending,3,3,1582,HOUSE,TOURISM,,,Fulbari/Newroad/Nayabajar/Jalparoad,38,224,4,Pokhara,WHOLE_HOUSE,25000,,,,2,2,YES,YES,YES,YES,,,,,s,1,,,ACTIVE,2025-06-10T09:22:58.000Z,2025-06-10T09:25:32.000Z,11,,d,,
218,pending,3,3,1583,FLAT,RESIDENTIAL,,,Fulbari/Chauthe,38,224,4,Pokhara,1R,13000,,,,2,2,YES,YES,NO,YES,,,,,s,1,,,ACTIVE,2025-06-10T09:24:55.000Z,2025-06-10T09:24:55.000Z,14,,s,,
219,pending,3,3,1584,HOUSE,RESIDENTIAL,,,Bagar/Lakeside /Sedi,38,224,4,Pokhara,1R,30000,,,,2,2,NO,NO,NO,YES,,,,,ss,1,,,ACTIVE,2025-06-10T09:34:32.000Z,2025-06-10T09:34:32.000Z,1,,s,,
220,pending,3,3,779,ROOM,RESIDENTIAL,,,Palikhechowk/Nayabajar/Mahendrapool,38,224,4,Pokhara,1R,5000,,,,1,1,NO,NO,YES,YES,,,,,zaa,1,,,ACTIVE,2025-06-24T09:25:03.000Z,2025-06-24T09:25:03.000Z,9,,w,,
221,pending,3,3,1625,HOUSE,RESIDENTIAL,,,Birauta/Rambajar,38,224,4,Pokhara,WHOLE_HOUSE,50000,,,,0,0,YES,YES,YES,YES,,,,,s,1,,,ACTIVE,2025-07-01T07:25:27.000Z,2025-07-01T07:25:27.000Z,17,,s,,
222,pending,3,3,1646,HOUSE,RESIDENTIAL,,,Rambajar,38,224,4,Pokhara,WHOLE_HOUSE,70000,,,,0,0,YES,NO,NO,YES,,,,,For hostel,1,,,ACTIVE,2025-07-10T11:11:43.000Z,2025-07-10T11:11:43.000Z,15,,,,
223,pending,3,3,1647,HOUSE,RESIDENTIAL,,,"Ranipauwa,Chauthe",38,224,4,Pokhara,WHOLE_HOUSE,30000,,,,2,2,YES,NO,NO,YES,,,,,Residential,1,,,ACTIVE,2025-07-11T07:50:55.000Z,2025-07-11T07:50:55.000Z,11,,1.5 FLOOR OK,,
224,pending,3,3,1648,FLAT,RESIDENTIAL,,,Ranipauwa/Fulbari,38,224,4,Pokhara,1R,20000,,,,2,2,YES,NO,YES,YES,,,,,ds,1,,,ACTIVE,2025-07-11T08:01:12.000Z,2025-07-11T08:01:12.000Z,11,,Gharbeti nabasne,,
225,pending,3,3,1650,FLAT,RESIDENTIAL,,,Fulbari/Ranipauwa,38,224,4,Pokhara,1R,20000,,,,3,1,YES,NO,NO,YES,,,,,Residential,1,,,ACTIVE,2025-07-13T12:48:30.000Z,2025-07-13T12:48:30.000Z,11,,ss,,
226,pending,3,3,1695,FLAT,RESIDENTIAL,,,Fulbari/Ranipauwa/Nadipur,38,224,4,Pokhara,1R,16000,,,,2,2,YES,NO,YES,YES,,,,,1 floor or 2bhk house,1,,,ACTIVE,2025-08-03T10:15:11.000Z,2025-08-03T10:15:11.000Z,11,,Kukur ko lagi ni space chhaiyo,,
227,pending,3,3,1694,FLAT,RESIDENTIAL,,,Fulbari/Ranipauwa/Sitaldevi,38,224,4,Pokhara,1BHK,15000,,,,2,1,YES,NO,NO,YES,,,,,ws,1,,,ACTIVE,2025-08-03T10:20:06.000Z,2025-08-03T10:20:06.000Z,11,,Siddartha school ma bachha padhne,,
