id,name,district_id,status,created_at,updated_at
68,Chautara Sangachowkgadhi,33,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
69,Chhayanath Rara,65,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
70,Chhedagad,68,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
71,Dakneshwari,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
72,Damak,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
73,Dasharath Chand,76,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
74,Daxinkaali,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
75,Deumai,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
76,Devchuli,43,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
77,Devdaha,49,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
78,Dewahi Gonahi,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
79,Dhangadhi,69,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
80,Dhangadimai,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
81,Dhankuta,2,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
82,Dhanushadham,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
83,Dharan,11,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
84,Dharmadevi,9,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
85,Dhorpatan,36,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
86,Dhulikhel,29,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
87,Dhunibeshi,27,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
88,Diktel Rupakot Majuwagadhi,5,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
89,Dipayal Silgadhi,71,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
90,Dudhauli,23,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
91,Duhabi,11,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
92,Dullu,67,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
93,Gadhimai,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
94,Gaindakot,43,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
95,Galkot,36,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
96,Galyang,45,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
97,Ganeshman Charnath,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
98,Garuda,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
99,Gaur,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
100,Gauradaha,4,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
101,Gauriganga,69,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
102,Gaushala,18,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
103,Ghodaghodi,69,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
104,Ghorahi,53,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
105,Godaita,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
106,Godawari,30,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
107,"Godawari, Seti",69,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
108,Gokarneshwor,28,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
109,Golbazar,16,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
110,Gorkha,37,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
111,Gujara,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
112,Gulariya,58,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
113,Gurbhakot,66,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
114,Halesi Tuwachung,5,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
115,Hansapur,17,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
116,Hanumannagar Kankalini,15,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
117,Haripur,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
118,Haripurwa,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
119,Hariwan,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
120,Hetauda,35,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
121,Ilam,3,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
122,Inaruwa,11,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
123,Ishnath,22,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
124,Ishworpur,19,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
125,Itahari,11,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
126,Jaimini,36,1,2024-08-09T07:47:25.000Z,2024-08-09T07:47:25.000Z
