table,id,address,city,ward_num,property_type,latitude,longitude
sellers,1604,"Nayagaun ban campus","pokhara","15",LAND,28.188988, 83.990732
sellers,1670,"palikhe chowk","pokhara","9",LAND,28.226030, 83.990807
sellers,982,"Palikhe Chowk","Pokhara","3",LAND,28.226030, 83.990807
sellers,1607,"parsyang panitanki vitra","pokhara","5",LAND,28.228401, 83.980848
sellers,359,"Phursekhola","pokhara","22",LAND,28.161773, 84.008581
sellers,711,"Phursekhola","Pokhara","22",LAND,28.161773, 84.008581
sellers,1019,"Phursekhola","Pokhara","17",LAND,28.161773, 84.008581
sellers,147,"Pokhara Bata 25 km tada","Pokhara","",LAND,,
sellers,1377,"Prithivichowk","Pokhara","10",HOTEL,28.209546, 83.985530
sellers,684,"PU/Lekhnath","Pokhara","30",LAND,28.185288, 84.035837
sellers,496,"Rajchautara","pokhara","",LAND,28.120260, 84.103325
sellers,1620,"Rambajar pension camp gate no 2","pokhara","10",LAND,28.201238, 83.995332
sellers,1701,"Ranipauwa","Pokhara","11",LAND,28.220699, 83.996773
sellers,1486,"Ratnachowk","Pokhara","8",LAND,28.207639, 83.975181
sellers,96,"Ratnachowk","Pokhara","",HOUSE,28.207639, 83.975181
sellers,859,"Ratnachowk","Pokhara","8",LAND,28.207639, 83.975181
sellers,913,"Ratnachowk","Pokhara","8",LAND,28.207639, 83.975181
sellers,533,"Sambhriddhi tole","pokhara","",HOUSE,28.207954, 84.016035
sellers,1390,"Samye","Pokhara","21",HOUSE,,
sellers,31,"Sangrilla","Pokhara","",HOUSE,28.209763, 83.971743
sellers,1633,"saragkot","pokhara","18",LAND,28.245879, 83.948374
sellers,264,"Siddharthachowk","pokhara","",HOUSE,28.224352, 83.984666
sellers,537,"singapore tole","Pokhara","10",HOUSE,28.202850, 84.000479
sellers,971,"Singapore Tole","Pokhara","10",LAND,28.202850, 84.000479
sellers,1130,"Singapore tole","Pokhara","10",LAND,28.202850, 84.000479
sellers,370,"Sishuwa Naubisey","Pokhara","",HOUSE,28.166350, 84.066637
sellers,1615,"sitaladevi mandir najikai","pokhara","12",LAND,28.216872, 84.002363
sellers,1110,"Sitaldevi","Pokhara","12",HOUSE,28.216872, 84.002363
sellers,1365,"Sitaldevi","Pokhara","12",LAND,28.216872, 84.002363
sellers,482,"sitaldevi","pokhara","",LAND,28.216872, 84.002363
sellers,997,"sitaldevi","Pokhara","12",LAND,28.216872, 84.002363
sellers,998,"Sitaldevi","Pokhara","12",LAND,28.216872, 84.002363
sellers,46,"Sitaldevi mandir","Pokhara","",LAND,28.216872, 84.002363
sellers,606,"Sitaldevi mandir","Pokhara","",LAND,28.216872, 84.002363
sellers,1155,"Sitaldevi mandir","Pokhara","12",LAND,28.216872, 84.002363
sellers,1105,"Srijanachowk","Pokhara","8",LAND,28.209483, 83.985321
sellers,1134,"Syani majuwa","Pokhara","15",HOUSE,28.194898, 83.996024
sellers,666,"Uttamchowk","Pokhara","11",LAND,28.205618, 83.997763
sellers,823,"Chamal Chowk","Talchowk","27",LAND,28.162815, 84.057093
rental_owners,95,"Bajhapatan","Pokhara","",FLAT,28.215585, 84.017372
rental_owners,120,"Bajhapatan","Pokhara","13",FLAT,28.215585, 84.017372
rental_owners,109,"Buddhachowk","pokhara","",FLAT,28.206223, 83.994611
rental_owners,144,"Buddhachowk","Pokhara","10",OFFICE_SPACE,28.206223, 83.994611
rental_owners,137,"Buddhachowk","Pokhara","10",OFFICE_SPACE,28.206223, 83.994611
rental_owners,126,"Budibajar","Pokhara","26",LAND,28.184437, 84.036741
rental_owners,164,"chapapani","pokhara","12",ROOM,28.219913, 84.004995
rental_owners,102,"chindanda","pokhara","",FLAT,28.219913, 84.004995
rental_owners,114,"Dhikalthar","pokhara","",ROOM,,
rental_owners,165,"fulbari","pokhara","11",ROOM,28.226281, 83.999223
rental_owners,161,"fulbari  bhaskar school najikai","pokhara","11",FLAT,28.226281, 83.999223
rental_owners,152,"Khasibajar","Pokhara","14",SHUTTER,27.689232, 85.284300
rental_owners,54,"lakeside sedi","Pokhara","",HOTEL,28.223907, 83.955187
rental_owners,108,"Laligurash tole","pokhara","",FLAT,28.207485, 84.005003
rental_owners,110,"naghdhunga","pokhara","",HOUSE,28.203837, 83.977883
rental_owners,132,"Nayabajar","Pokhara","9",OFFICE_SPACE,28.218863, 83.990685
rental_owners,122,"Nayabajar","Pokhara","9",HOUSE,28.218863, 83.990685
rental_owners,156,"Palikhe Chowk","Pokhara","3",FLAT,28.225995, 83.990792
rental_owners,158,"pokhara-12 chapapani","pokhara","12",HOUSE,28.244064, 83.955023
rental_owners,159,"pokhara-12 chapapani","pokhara","12",HOUSE,28.244064, 83.955023
rental_owners,128,"Rastra Bank Marga","Pokhara","17",FLAT,28.205562, 83.975163
rental_owners,163,"Rastrabank chowk","pokhara","17",LAND,28.205562, 83.975163
